datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-01-20 00:00:00,1,0,1,1,10.66,11.365,56,26.0027,,,1.1060572
2011-01-20 01:00:00,1,0,1,1,10.66,13.635,56,0.0,,,1.1677136
2011-01-20 02:00:00,1,0,1,1,10.66,13.635,56,0.0,,,1.1704278
2011-01-20 03:00:00,1,0,1,1,10.66,12.88,56,11.0014,,,1.123561
2011-01-20 04:00:00,1,0,1,1,10.66,12.88,56,11.0014,,,1.1238124
2011-01-20 05:00:00,1,0,1,1,9.84,11.365,60,15.0013,,,1.1042659
2011-01-20 06:00:00,1,0,1,1,9.02,10.605,60,15.0013,,,1.1052556
2011-01-20 07:00:00,1,0,1,1,9.02,10.605,55,15.0013,,,1.1354513
2011-01-20 08:00:00,1,0,1,1,9.02,10.605,55,19.0012,,,1.1395935
2011-01-20 09:00:00,1,0,1,2,9.84,11.365,52,15.0013,,,0.9244221
2011-01-20 10:00:00,1,0,1,1,10.66,11.365,48,19.9995,,,1.1396406
2011-01-20 11:00:00,1,0,1,2,11.48,13.635,45,11.0014,,,0.95649576
2011-01-20 12:00:00,1,0,1,2,12.3,16.665,42,0.0,,,1.149812
2011-01-20 13:00:00,1,0,1,2,11.48,14.395,45,7.0015,,,0.9819825
2011-01-20 14:00:00,1,0,1,2,12.3,15.15,45,8.9981,,,0.97083265
2011-01-20 15:00:00,1,0,1,2,13.12,15.91,45,12.998,,,0.94162285
2011-01-20 16:00:00,1,0,1,2,12.3,15.15,49,8.9981,,,0.9555843
2011-01-20 17:00:00,1,0,1,2,12.3,15.91,49,7.0015,,,0.9735671
2011-01-20 18:00:00,1,0,1,2,10.66,12.88,56,12.998,,,0.9026501
2011-01-20 19:00:00,1,0,1,1,10.66,11.365,56,22.0028,,,1.1141021
2011-01-20 20:00:00,1,0,1,2,10.66,12.12,60,19.0012,,,0.9187422
2011-01-20 21:00:00,1,0,1,2,9.84,11.365,60,16.9979,,,0.9146808
2011-01-20 22:00:00,1,0,1,2,9.84,10.605,65,19.0012,,,0.925462
2011-01-20 23:00:00,1,0,1,2,9.84,10.605,65,22.0028,,,0.9412661
2011-01-21 00:00:00,1,0,1,2,9.84,11.365,70,16.9979,,,0.92949796
2011-01-21 01:00:00,1,0,1,2,9.84,11.365,70,16.9979,,,0.9295751
2011-01-21 02:00:00,1,0,1,3,9.84,12.12,75,11.0014,,,0.92785966
2011-01-21 03:00:00,1,0,1,3,9.02,10.605,80,19.9995,,,0.9497516
2011-01-21 04:00:00,1,0,1,2,9.02,12.88,87,6.0032,,,0.91768193
2011-01-21 05:00:00,1,0,1,1,9.84,9.85,60,27.9993,,,1.0798717
2011-01-21 06:00:00,1,0,1,1,9.02,10.605,55,16.9979,,,1.1446159
2011-01-21 07:00:00,1,0,1,1,8.2,9.09,51,19.0012,,,1.1153188
2011-01-21 08:00:00,1,0,1,1,8.2,9.09,47,22.0028,,,1.1109058
2011-01-21 09:00:00,1,0,1,1,8.2,9.09,51,23.9994,,,1.1024995
2011-01-21 10:00:00,1,0,1,1,8.2,8.335,47,31.0009,,,1.084199
2011-01-21 11:00:00,1,0,1,1,9.02,9.09,41,31.0009,,,1.099199
2011-01-21 12:00:00,1,0,1,1,9.02,9.09,27,39.0007,,,1.1190104
2011-01-21 13:00:00,1,0,1,1,8.2,7.575,21,39.0007,,,1.1144404
2011-01-21 14:00:00,1,0,1,1,8.2,7.575,25,35.0008,,,1.0788733
2011-01-21 15:00:00,1,0,1,1,6.56,6.06,26,30.0026,,,1.0775943
2011-01-21 16:00:00,1,0,1,1,6.56,6.82,26,23.9994,,,1.0883362
2011-01-21 17:00:00,1,0,1,1,5.74,6.06,28,23.9994,,,1.0843761
2011-01-21 18:00:00,1,0,1,1,4.92,6.06,30,16.9979,,,1.1456399
2011-01-21 19:00:00,1,0,1,1,4.92,5.305,30,22.0028,,,1.0899031
2011-01-21 20:00:00,1,0,1,1,4.1,3.79,33,27.9993,,,1.0523055
2011-01-21 21:00:00,1,0,1,1,3.28,3.79,38,19.0012,,,1.09829
2011-01-21 22:00:00,1,0,1,1,2.46,1.515,41,26.0027,,,1.0109956
2011-01-21 23:00:00,1,0,1,1,2.46,2.275,38,22.0028,,,1.0400119
2011-01-22 00:00:00,1,0,0,1,1.64,1.515,45,16.9979,,,1.0220716
2011-01-22 01:00:00,1,0,0,2,1.64,0.0,41,26.0027,,,1.0150319
2011-01-22 02:00:00,1,0,0,2,1.64,1.515,41,16.9979,,,1.0416241
2011-01-22 03:00:00,1,0,0,2,1.64,1.515,41,19.0012,,,1.0260131
2011-01-22 04:00:00,1,0,0,2,0.82,0.76,48,19.9995,,,1.0246336
2011-01-22 06:00:00,1,0,0,2,0.82,1.515,44,15.0013,,,1.0756742
2011-01-22 07:00:00,1,0,0,1,0.82,0.76,44,19.0012,,,1.0113866
2011-01-22 08:00:00,1,0,0,1,0.82,0.0,44,22.0028,,,0.99143267
2011-01-22 09:00:00,1,0,0,1,1.64,1.515,41,16.9979,,,1.0348227
2011-01-22 10:00:00,1,0,0,2,1.64,3.03,41,11.0014,,,1.1206329
2011-01-22 11:00:00,1,0,0,2,2.46,3.79,38,8.9981,,,1.126989
2011-01-22 12:00:00,1,0,0,2,2.46,5.305,38,7.0015,,,1.1432817
2011-01-22 13:00:00,1,0,0,1,3.28,8.335,35,0.0,,,1.4192955
2011-01-22 14:00:00,1,0,0,1,4.1,6.82,33,7.0015,,,1.298229
2011-01-22 15:00:00,1,0,0,1,4.92,7.575,28,0.0,,,1.4228977
2011-01-22 16:00:00,1,0,0,1,4.92,6.82,28,12.998,,,1.224627
2011-01-22 17:00:00,1,0,0,1,4.92,9.85,28,0.0,,,1.4495237
2011-01-22 18:00:00,1,0,0,1,3.28,4.545,35,12.998,,,1.1401193
2011-01-22 19:00:00,1,0,0,1,3.28,5.305,35,8.9981,,,1.2339444
2011-01-22 20:00:00,1,0,0,1,2.46,3.79,45,11.0014,,,1.0948896
2011-01-22 21:00:00,1,0,0,1,2.46,5.305,41,6.0032,,,1.2177962
