record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold
212645,16/07/13,8091,216418,108.3,108.3,0,0,28.821667
212646,16/07/13,8091,216419,109.0125,109.0125,0,0,11.519132
212647,16/07/13,8091,216425,133.95,133.95,0,0,30.43888
212648,16/07/13,8091,216233,133.95,133.95,0,0,29.566349
212649,16/07/13,8091,217390,176.7,176.7,0,0,14.104906
212653,16/07/13,8091,219009,218.7375,218.7375,0,0,30.159447
212654,16/07/13,8091,219029,341.2875,341.2875,0,0,40.94662
212657,16/07/13,8091,223245,233.7,233.7,0,0,31.54486
212658,16/07/13,8091,223153,240.1125,240.1125,0,0,15.634869
212661,16/07/13,8095,216418,109.725,109.725,0,0,170.80756
212662,16/07/13,8095,216419,109.725,109.725,0,0,105.35453
212663,16/07/13,8095,300021,109.0125,109.0125,0,0,46.331436
212666,16/07/13,8095,216425,133.2375,133.2375,0,0,81.29064
212667,16/07/13,8095,216233,133.2375,133.2375,0,0,86.8024
212668,16/07/13,8095,217390,175.9875,175.9875,0,0,113.999146
212671,16/07/13,8095,219844,243.675,359.8125,0,1,67.76841
212672,16/07/13,8095,219009,203.775,203.775,0,0,100.011185
212673,16/07/13,8095,219029,341.2875,341.2875,0,0,68.688545
212674,16/07/13,8095,222087,162.45,224.4375,1,1,389.2082
212675,16/07/13,8095,320485,213.0375,213.0375,0,0,28.52526
212676,16/07/13,8095,378934,213.0375,213.0375,0,1,9.619199
212677,16/07/13,8095,222765,254.3625,254.3625,0,0,84.79274
212678,16/07/13,8095,223245,233.7,233.7,0,0,63.46548
212679,16/07/13,8095,223153,220.875,220.875,0,0,45.070866
212681,16/07/13,8095,245387,355.5375,469.5375,1,0,59.429897
212682,16/07/13,8095,245338,357.675,469.5375,1,0,83.30715
212683,16/07/13,8095,547934,164.5875,164.5875,0,0,41.565758
212686,16/07/13,8094,216418,88.35,86.2125,0,1,91.53519
212687,16/07/13,8094,216419,88.35,83.3625,0,1,78.84589
212688,16/07/13,8094,300021,88.35,88.35,0,0,25.392546
