Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,Customers,Sales
1,1,4,2015-09-17,1.0,1,0,0,,2454.625
2,3,4,2015-09-17,1.0,1,0,0,,2454.625
3,7,4,2015-09-17,1.0,1,0,0,,2735.368
4,8,4,2015-09-17,1.0,1,0,0,,2735.368
5,9,4,2015-09-17,1.0,1,0,0,,2735.368
6,10,4,2015-09-17,1.0,1,0,0,,2735.6553
7,11,4,2015-09-17,1.0,1,0,0,,2834.5583
8,12,4,2015-09-17,1.0,1,0,0,,2834.5583
9,13,4,2015-09-17,1.0,1,0,0,,2834.5583
10,14,4,2015-09-17,1.0,1,0,0,,2834.5583
11,15,4,2015-09-17,1.0,1,0,0,,2835.5903
12,16,4,2015-09-17,1.0,1,0,0,,2752.405
13,19,4,2015-09-17,1.0,1,0,0,,2752.405
14,20,4,2015-09-17,1.0,1,0,0,,2752.2954
15,21,4,2015-09-17,1.0,1,0,0,,2663.186
16,22,4,2015-09-17,1.0,1,0,0,,2663.186
17,23,4,2015-09-17,1.0,1,0,0,,2663.186
18,24,4,2015-09-17,1.0,1,0,0,,2663.186
19,25,4,2015-09-17,1.0,1,0,0,,2663.186
20,27,4,2015-09-17,1.0,1,0,0,,2634.5312
21,29,4,2015-09-17,1.0,1,0,0,,2634.5312
22,30,4,2015-09-17,1.0,1,0,0,,2634.5312
23,31,4,2015-09-17,1.0,1,0,0,,2626.123
24,32,4,2015-09-17,1.0,1,0,0,,2626.123
25,33,4,2015-09-17,1.0,1,0,0,,2626.123
26,35,4,2015-09-17,1.0,1,0,0,,2626.123
27,36,4,2015-09-17,1.0,1,0,0,,2623.7253
28,38,4,2015-09-17,1.0,1,0,0,,2623.7253
29,39,4,2015-09-17,1.0,1,0,0,,2623.7253
30,40,4,2015-09-17,1.0,1,0,0,,2623.7253
31,41,4,2015-09-17,1.0,1,0,0,,2723.0728
32,42,4,2015-09-17,1.0,1,0,0,,2723.0728
33,43,4,2015-09-17,1.0,1,0,0,,2723.0728
34,45,4,2015-09-17,1.0,1,0,0,,2722.4978
35,46,4,2015-09-17,1.0,1,0,0,,2701.0916
36,47,4,2015-09-17,1.0,1,0,0,,2701.0916
37,48,4,2015-09-17,1.0,1,0,0,,2701.0916
38,49,4,2015-09-17,1.0,1,0,0,,2701.0916
39,50,4,2015-09-17,1.0,1,0,0,,2700.7158
40,51,4,2015-09-17,1.0,1,0,0,,2725.6145
41,52,4,2015-09-17,1.0,1,0,0,,2725.6145
42,53,4,2015-09-17,1.0,1,0,0,,2725.6145
43,56,4,2015-09-17,1.0,1,0,0,,2724.9941
44,58,4,2015-09-17,1.0,1,0,0,,2724.9941
45,61,4,2015-09-17,1.0,1,0,0,,2609.875
46,62,4,2015-09-17,1.0,1,0,0,,2609.875
47,63,4,2015-09-17,1.0,1,0,0,,2609.875
48,64,4,2015-09-17,1.0,1,0,0,,2609.875
49,66,4,2015-09-17,1.0,1,0,0,,2543.9392
50,67,4,2015-09-17,1.0,1,0,0,,2543.9392
51,68,4,2015-09-17,1.0,1,0,0,,2543.9392
52,69,4,2015-09-17,1.0,1,0,0,,2543.9392
53,70,4,2015-09-17,1.0,1,0,0,,2536.6838
54,71,4,2015-09-17,1.0,1,0,0,,2456.3489
55,72,4,2015-09-17,1.0,1,0,0,,2456.3489
56,73,4,2015-09-17,1.0,1,0,0,,2456.3489
57,74,4,2015-09-17,1.0,1,0,0,,2456.3489
58,75,4,2015-09-17,1.0,1,0,0,,2450.7603
59,76,4,2015-09-17,1.0,1,0,0,,2432.312
60,77,4,2015-09-17,1.0,1,0,0,,2432.312
61,79,4,2015-09-17,1.0,1,0,0,,2432.312
62,80,4,2015-09-17,1.0,1,0,0,,2432.024
63,81,4,2015-09-17,1.0,1,0,0,,2407.2021
64,82,4,2015-09-17,1.0,1,0,0,,2407.2021
65,83,4,2015-09-17,1.0,1,0,0,,2407.2021
66,84,4,2015-09-17,1.0,1,0,0,,2406.9006
67,86,4,2015-09-17,1.0,1,0,0,,2338.0105
68,89,4,2015-09-17,1.0,1,0,0,,2338.0105
69,90,4,2015-09-17,1.0,1,0,0,,2336.1433
70,91,4,2015-09-17,1.0,1,0,0,,2333.892
71,92,4,2015-09-17,1.0,1,0,0,,2333.892
72,93,4,2015-09-17,1.0,1,0,0,,2333.892
73,94,4,2015-09-17,1.0,1,0,0,,2333.892
74,98,4,2015-09-17,1.0,1,0,0,,2324.1177
75,99,4,2015-09-17,1.0,1,0,0,,2322.5918
76,100,4,2015-09-17,1.0,1,0,0,,2322.4937
77,101,4,2015-09-17,1.0,1,0,0,,2291.462
78,102,4,2015-09-17,1.0,1,0,0,,2291.462
79,105,4,2015-09-17,1.0,1,0,0,,2291.7236
80,107,4,2015-09-17,1.0,1,0,0,,2290.705
81,108,4,2015-09-17,1.0,1,0,0,,2290.705
82,109,4,2015-09-17,1.0,1,0,0,,2290.6548
83,110,4,2015-09-17,1.0,1,0,0,,2289.6614
84,111,4,2015-09-17,1.0,1,0,0,,2293.1223
85,112,4,2015-09-17,1.0,1,0,0,,2293.1223
86,113,4,2015-09-17,1.0,1,0,0,,2293.1223
87,115,4,2015-09-17,1.0,1,0,0,,2296.5444
88,117,4,2015-09-17,1.0,1,0,0,,2295.227
89,118,4,2015-09-17,1.0,1,0,0,,2295.227
90,119,4,2015-09-17,1.0,1,0,0,,2295.227
91,120,4,2015-09-17,1.0,1,0,0,,2296.527
92,122,4,2015-09-17,1.0,1,0,0,,2298.0164
93,124,4,2015-09-17,1.0,1,0,0,,2297.1172
94,126,4,2015-09-17,1.0,1,0,0,,2336.4749
95,127,4,2015-09-17,1.0,1,0,0,,2336.4749
96,128,4,2015-09-17,1.0,1,0,0,,2336.4749
